,TrackID,TrackName,Popularity,Duration,Explicit,Artists,ArtistsID,ReleaseYear,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,TimeSignature,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidates_genre_lists,popularity_red
241261,033vO3yfYViqWIKo8BdrTK,Castigala,29,276533,0,['Los Nemus Del Pacifico'],['58JENxULlTFsqJb5l2Nb50'],2000,0.759,0.807,10,-7.549,0,0.0458,0.164,0.0709,0.0544,0.856,92.752,4,['Los Nemus Del Pacifico'],[],['Los Nemus Del Pacifico'],Los Nemus Del Pacifico+Castigala,['salsa_colombiana'],5
241592,1XcUn5PE9d42zWamWgRG2x,Heaven,60,226960,0,['Los Lonely Boys'],['4aSEmLLxLX9wR5aLMllOKj'],2004,0.653,0.816,11,-6.373,1,0.0638,0.376,1.61e-06,0.0754,0.802,91.894,4,['Los Lonely Boys'],[],['Los Lonely Boys'],Los Lonely Boys+Heaven,[],12
241606,4mdui3u0o56MqjhGRksE8A,Que Nadie Sepa Mi Sufrir,32,150227,0,['Los Lobos'],['6OWapcJm9xd55ci9CYbAuT'],1988,0.62,0.366,7,-12.783,1,0.0776,0.403,5.52e-06,0.2,0.637,168.625,3,['Los Lobos'],[],['Los Lobos'],Los Lobos+Que Nadie Sepa Mi Sufrir,['roots_rock'],6
241609,25x4t3MC6HhmMsx1WAztg2,One Time One Night,41,289307,0,['Los Lobos'],['6OWapcJm9xd55ci9CYbAuT'],1987,0.624,0.586,2,-11.576,1,0.0292,0.101,0.000156,0.641,0.748,90.316,4,['Los Lobos'],[],['Los Lobos'],Los Lobos+One Time One Night,['roots_rock'],8
241621,3bn2V2sX9thF562738E6ti,"Come On, Let's Go",45,120467,0,['Los Lobos'],['6OWapcJm9xd55ci9CYbAuT'],1993,0.42,0.707,9,-11.157,1,0.0372,0.123,0.00312,0.0885,0.833,176.362,4,['Los Lobos'],[],['Los Lobos'],"Los Lobos+Come On, Let's Go",['roots_rock'],9
241988,0vkrrVv99MaLCosbD6eMjw,Todos Juntos,47,295627,0,['Los Jaivas'],['750f5Yoi20mYBe2EoVqWiT'],1997,0.581,0.765,7,-6.582,0,0.0413,0.00296,0.000586,0.0633,0.717,115.053,4,['Los Jaivas'],[],['Los Jaivas'],Los Jaivas+Todos Juntos,"['nueva_cancion', 'chilean_indie', 'chilean_rock', 'rock_en_espanol', 'musica_andina', 'latin_alternative', 'latin_rock']",9
242006,3WPzHY2FLXX3vWiwZ8B5i1,Mira Niñita,51,387400,0,['Los Jaivas'],['750f5Yoi20mYBe2EoVqWiT'],1997,0.364,0.701,0,-11.89,1,0.0629,0.000736,0.0531,0.215,0.36,120.779,4,['Los Jaivas'],[],['Los Jaivas'],Los Jaivas+Mira Niñita,"['nueva_cancion', 'chilean_indie', 'chilean_rock', 'rock_en_espanol', 'musica_andina', 'latin_alternative', 'latin_rock']",10
242042,5VlHKjwd7juH9FXR5n2m8H,Corre Que Te Pillo,37,587027,0,['Los Jaivas'],['750f5Yoi20mYBe2EoVqWiT'],1982,0.433,0.813,7,-10.195,1,0.0418,0.0368,0.712,0.0992,0.81,102.064,3,['Los Jaivas'],[],['Los Jaivas'],Los Jaivas+Corre Que Te Pillo,"['nueva_cancion', 'chilean_indie', 'chilean_rock', 'rock_en_espanol', 'musica_andina', 'latin_alternative', 'latin_rock']",7
242052,5bvJnGwvrRWl9JcGkbx33p,Antigua América,35,338453,0,['Los Jaivas'],['750f5Yoi20mYBe2EoVqWiT'],1981,0.484,0.595,4,-7.26,0,0.0497,0.637,0.0301,0.184,0.571,119.342,4,['Los Jaivas'],[],['Los Jaivas'],Los Jaivas+Antigua América,"['nueva_cancion', 'chilean_indie', 'chilean_rock', 'rock_en_espanol', 'musica_andina', 'latin_alternative', 'latin_rock']",7
242053,6zHN5mpkkggONw5nS9Q9aK,Amor Americano,42,326307,0,['Los Jaivas'],['750f5Yoi20mYBe2EoVqWiT'],1981,0.51,0.747,4,-7.796,0,0.23,0.127,0.000761,0.558,0.907,85.962,4,['Los Jaivas'],[],['Los Jaivas'],Los Jaivas+Amor Americano,"['nueva_cancion', 'chilean_indie', 'chilean_rock', 'rock_en_espanol', 'musica_andina', 'latin_alternative', 'latin_rock']",8
242076,0QwRB5Q6nxAN0AsLavgFOa,Tu Con El,49,259579,0,['Los Iracundos'],['0xpMy6DeMBWX8zTURxB4h5'],2011,0.438,0.457,5,-9.275,1,0.0306,0.492,0.0,0.137,0.318,90.06,4,['Los Iracundos'],[],['Los Iracundos'],Los Iracundos+Tu Con El,"['latin_pop', 'pop_romantico']",9
242396,5mePdH1iZIo6rkYHWm94mY,El Condor Pasa,35,223627,0,['Los Incas'],['0XgSqpsOieBTVS8WooknPG'],1999,0.478,0.374,4,-15.246,0,0.0618,0.888,0.95,0.17,0.295,74.631,4,['Los Incas'],[],['Los Incas'],Los Incas+El Condor Pasa,['musica_andina'],7
242495,0ZPquQV2aKmDfwPjvMdvRp,Último Romance,59,263440,0,['Los Hermanos'],['7Brxri4l1ATShikyHXsEr6'],2003,0.406,0.665,3,-6.264,0,0.0286,0.509,0.000641,0.112,0.553,159.997,4,['Los Hermanos'],[],['Los Hermanos'],Los Hermanos+Último Romance,"['rock_nacional_brasileiro', 'nova_mpb', 'brazilian_rock', 'mpb', 'rock_alternativo_brasileiro']",11
